date,country_code,historical,pop culture
2023-03-21,DE,0.9202710260139163,0.07972897398608367
2023-03-21,GB,0.8605944971841585,0.13940550281584158
2023-03-21,IN,0.7629294007119581,0.2370705992880419
2023-03-21,JP,0.7162289600956963,0.2837710399043038
2023-03-21,US,0.7673726786713789,0.23262732132862113
2023-03-22,DE,0.9649255989072187,0.03507440109278124
2023-03-22,GB,0.825523859991905,0.17447614000809503
2023-03-22,IN,0.6709112693273593,0.3290887306726407
2023-03-22,JP,0.645465467331583,0.354534532668417
2023-03-22,US,0.7360035539369458,0.2639964460630541
2023-03-23,DE,0.9474816213895378,0.05251837861046215
2023-03-23,GB,0.8706334767474967,0.12936652325250333
2023-03-23,IN,0.6458375938432078,0.35416240615679223
2023-03-23,JP,0.7113784887629274,0.2886215112370725
2023-03-23,US,0.8106662133986626,0.18933378660133743
