date,country_code,current,historical
2023-03-21,DE,0.6232941574614748,0.37670584253852524
2023-03-21,GB,0.8556620898521737,0.1443379101478262
2023-03-21,IN,0.5162590324869281,0.48374096751307194
2023-03-21,JP,0.7975374753806606,0.20246252461933947
2023-03-21,US,0.7977819279602616,0.20221807203973843
2023-03-22,DE,0.28789649870330103,0.712103501296699
2023-03-22,GB,0.5043136833871426,0.49568631661285745
2023-03-22,IN,0.6277136427224621,0.37228635727753784
2023-03-22,JP,0.8991325910935832,0.10086740890641677
2023-03-22,US,0.6119419819659977,0.38805801803400225
2023-03-23,DE,0.5705896953340266,0.42941030466597335
2023-03-23,GB,0.9126599082790249,0.08734009172097514
2023-03-23,IN,0.45283778167978805,0.547162218320212
2023-03-23,JP,0.884072130224132,0.11592786977586804
2023-03-23,US,0.5258598086703705,0.4741401913296295
